SECID;SHORTNAME;NAME;TYPENAME;ISIN;REGNUMBER;LISTLEVEL;FACEUNIT;PRIMARY_BOARDID;PRIMARY_BOARD_TITLE;EMITENTNAME;INN;LOTSIZE
RU000A0JNYN1;МГор48-об;Гор.Обл.Займ Москвы 48 в.;Региональные облигации;RU000A0JNYN1;RU32048MOS0;1;RUB;TQCB;Т+: Облигации - безадрес.;Правительство Москвы в лице Департамента финансов города Москвы;7710152113;1
RU000A0JQ7Z2;РЖД-19 обл;"""Российские ЖД"" ОАО 19 обл.";Корпоративные облигации;RU000A0JQ7Z2;4-19-65045-D;2;RUB;TQCB;Т+: Облигации - безадрес.;"открытое акционерное общество ""Российские железные дороги""";7708503727;1
RU000A0JQ8V9;Мечел  4об;Мечел ПАО 04 обл.;Корпоративные облигации;RU000A0JQ8V9;4-04-55005-E;3;RUB;TQCB;Т+: Облигации - безадрес.;"Публичное акционерное общество ""Мечел""";7703370008;1
RU000A0JQAL8;ДОМ.РФ14об;ДОМ.РФ (АО) обл. сер. А14;Корпоративные облигации;RU000A0JQAL8;4-14-00739-A;1;RUB;TQCB;Т+: Облигации - безадрес.;"Акционерное общество ""ДОМ.РФ""";7729355614;1
RU000A0JQAM6;ДОМ.РФ15об;ДОМ.РФ (АО) обл. сер. А15;Корпоративные облигации;RU000A0JQAM6;4-15-00739-A;1;RUB;TQCB;Т+: Облигации - безадрес.;"Акционерное общество ""ДОМ.РФ""";7729355614;1
RU000A0JQRD9;РЖД-23 обл;"""Российские ЖД"" ОАО 23 обл.";Корпоративные облигации;RU000A0JQRD9;4-23-65045-D;2;RUB;TQCB;Т+: Облигации - безадрес.;"открытое акционерное общество ""Российские железные дороги""";7708503727;1
RU000A0JQXG0;ДОМ.РФ16об;ДОМ.РФ (АО) обл. сер. А16;Корпоративные облигации;RU000A0JQXG0;4-16-00739-A;1;RUB;TQCB;Т+: Облигации - безадрес.;"Акционерное общество ""ДОМ.РФ""";7729355614;1
RU000A0JR1Y7;ФСК ЕЭС-06;"""ФСК ЕЭС""(ПАО)-обл. сер.06";Корпоративные облигации;RU000A0JR1Y7;4-06-65018-D;2;RUB;TQCB;Т+: Облигации - безадрес.;"Публичное акционерное общество ""Федеральная сетевая компания Единой энергетической системы""";4716016979;1
RU000A0JR1Z4;ФСК ЕЭС-07;"""ФСК ЕЭС""(ПАО)-обл. сер.07";Корпоративные облигации;RU000A0JR1Z4;4-07-65018-D;2;RUB;TQCB;Т+: Облигации - безадрес.;"Публичное акционерное общество ""Федеральная сетевая компания Единой энергетической системы""";4716016979;1
RU000A0JR209;ФСК ЕЭС-08;"""ФСК ЕЭС""(ПАО)-обл. сер.08";Корпоративные облигации;RU000A0JR209;4-08-65018-D;2;RUB;TQCB;Т+: Облигации - безадрес.;"Публичное акционерное общество ""Федеральная сетевая компания Единой энергетической системы""";4716016979;1
RU000A0JR217;ФСК ЕЭС-10;"""ФСК ЕЭС""(ПАО)-обл. сер.10";Корпоративные облигации;RU000A0JR217;4-10-65018-D;2;RUB;TQCB;Т+: Облигации - безадрес.;"Публичное акционерное общество ""Федеральная сетевая компания Единой энергетической системы""";4716016979;1
RU000A0JR3G0;ВЭБ.РФ 08;ВЭБ.РФ об. сер. 08;Корпоративные облигации;RU000A0JR3G0;4-08-00004-T;1;RUB;TQCB;Т+: Облигации - безадрес.;"государственная корпорация развития ""ВЭБ.РФ""";7750004150;1
RU000A0JR3H8;ВЭБ.РФ 06;ВЭБ.РФ об. сер. 06;Корпоративные облигации;RU000A0JR3H8;4-06-00004-T;1;RUB;TQCB;Т+: Облигации - безадрес.;"государственная корпорация развития ""ВЭБ.РФ""";7750004150;1
RU000A0JR3L0;ФСК ЕЭС-11;"""ФСК ЕЭС""(ПАО)-обл. сер.11";Корпоративные облигации;RU000A0JR3L0;4-11-65018-D;3;RUB;TQCB;Т+: Облигации - безадрес.;"Публичное акционерное общество ""Федеральная сетевая компания Единой энергетической системы""";4716016979;1
RU000A0JR3M8;ФСК ЕЭС-09;"""ФСК ЕЭС""(ПАО)-обл. сер.09";Корпоративные облигации;RU000A0JR3M8;4-09-65018-D;3;RUB;TQCB;Т+: Облигации - безадрес.;"Публичное акционерное общество ""Федеральная сетевая компания Единой энергетической системы""";4716016979;1
RU000A0JR4J2;МТС 08;Мобильные ТелеСистемы ПАО об 8;Корпоративные облигации;RU000A0JR4J2;4-08-04715-A;1;RUB;TQCB;Т+: Облигации - безадрес.;"Публичное акционерное общество ""Мобильные ТелеСистемы""";7740000076;1
RU000A0JR4U9;ГлДорога 3;Главная дорога АО об.сер. 03;Корпоративные облигации;RU000A0JR4U9;4-03-12755-A;2;RUB;TQCB;Т+: Облигации - безадрес.;"Акционерное общество ""Главная дорога""";7726581132;1
RU000A0JR5F7;ДОМ.РФ17об;ДОМ.РФ (АО) обл. сер.А17;Корпоративные облигации;RU000A0JR5F7;4-17-00739-A;1;RUB;TQCB;Т+: Облигации - безадрес.;"Акционерное общество ""ДОМ.РФ""";7729355614;1
RU000A0JR6S8;ДОМ.РФ20об;ДОМ.РФ (АО) обл. сер.А20;Корпоративные облигации;RU000A0JR6S8;4-20-00739-A;1;RUB;TQCB;Т+: Облигации - безадрес.;"Акционерное общество ""ДОМ.РФ""";7729355614;1
RU000A0JR878;Газпрнеф10;Газпром нефть ПАО 10 об;Корпоративные облигации;RU000A0JR878;4-10-00146-A;3;RUB;TQCB;Т+: Облигации - безадрес.;"Публичное акционерное общество ""Газпром нефть""";5504036333;1
RU000A0JR8L9;Мечел 15об;Мечел ПАО 15 обл.;Корпоративные облигации;RU000A0JR8L9;4-15-55005-E;3;RUB;TQCB;Т+: Облигации - безадрес.;"Публичное акционерное общество ""Мечел""";7703370008;1
RU000A0JR8P0;Мечел 16об;Мечел ПАО 16 обл.;Корпоративные облигации;RU000A0JR8P0;4-16-55005-E;3;RUB;TQCB;Т+: Облигации - безадрес.;"Публичное акционерное общество ""Мечел""";7703370008;1
RU000A0JRCX7;ВЭБ.РФ 09;ВЭБ.РФ об. сер. 09;Корпоративные облигации;RU000A0JRCX7;4-09-00004-T;1;RUB;TQCB;Т+: Облигации - безадрес.;"государственная корпорация развития ""ВЭБ.РФ""";7750004150;1
RU000A0JRDY3;ДОМ.РФ18об;ДОМ.РФ (АО) обл. сер.А18;Корпоративные облигации;RU000A0JRDY3;4-18-00739-A;1;RUB;TQCB;Т+: Облигации - безадрес.;"Акционерное общество ""ДОМ.РФ""";7729355614;1
RU000A0JREW5;ВЭБлизинг3;ВЭБ-лизинг АО об. 03;Корпоративные облигации;RU000A0JREW5;4-03-43801-H;3;RUB;TQCB;Т+: Облигации - безадрес.;"Акционерное общество ""ВЭБ-лизинг""";7709413138;1
RU000A0JREX3;ВЭБлизинг4;ВЭБ-лизинг АО об. 04;Корпоративные облигации;RU000A0JREX3;4-04-43801-H;3;RUB;TQCB;Т+: Облигации - безадрес.;"Акционерное общество ""ВЭБ-лизинг""";7709413138;1
RU000A0JREZ8;ВЭБлизинг5;ВЭБ-лизинг АО об. 05;Корпоративные облигации;RU000A0JREZ8;4-05-43801-H;3;RUB;TQCB;Т+: Облигации - безадрес.;"Акционерное общество ""ВЭБ-лизинг""";7709413138;1
RU000A0JRF11;РУСАЛБАл08;РУСАЛ Братский алюм. з-д об 08;Корпоративные облигации;RU000A0JRF11;4-08-20075-F;2;RUB;TQCB;Т+: Облигации - безадрес.;"Публичное акционерное общество ""РУСАЛ Братский алюминиевый завод""";3803100054;1
RU000A0JRFN1;РусГидро01;РусГидро (ПАО) 01;Корпоративные облигации;RU000A0JRFN1;4-01-55038-E;3;RUB;TQCB;Т+: Облигации - безадрес.;"Публичное акционерное общество ""Федеральная гидрогенерирующая компания - РусГидро""";2460066195;1
RU000A0JRFP6;РусГидро02;РусГидро (ПАО) 02;Корпоративные облигации;RU000A0JRFP6;4-02-55038-E;3;RUB;TQCB;Т+: Облигации - безадрес.;"Публичное акционерное общество ""Федеральная гидрогенерирующая компания - РусГидро""";2460066195;1
RU000A0JRHF3;Акрон 04;Акрон (ПАО) об. сер. 04;Корпоративные облигации;RU000A0JRHF3;4-05-00207-A;2;RUB;TQCB;Т+: Облигации - безадрес.;"Публичное акционерное общество ""Акрон""";5321029508;1
RU000A0JRHG1;Акрон 05;Акрон (ПАО) об. сер. 05;Корпоративные облигации;RU000A0JRHG1;4-06-00207-A;2;RUB;TQCB;Т+: Облигации - безадрес.;"Публичное акционерное общество ""Акрон""";5321029508;1
RU000A0JRJB8;ЗСД 01;Запад.скор.диаметр АО об.01;Корпоративные облигации;RU000A0JRJB8;4-01-00350-D;1;RUB;TQCB;Т+: Облигации - безадрес.;"Акционерное общество ""Западный скоростной диаметр""";7825392577;1
RU000A0JRJC6;ВолгСпорт1;Волга-Спорт АО обл. 01;Корпоративные облигации;RU000A0JRJC6;4-01-20468-P;1;RUB;TQCB;Т+: Облигации - безадрес.;"Акционерное общество ""Волга-Спорт""";5257116711;1
RU000A0JRJL7;ЗСД 02;Запад.скор.диаметр АО об.02;Корпоративные облигации;RU000A0JRJL7;4-02-00350-D;1;RUB;TQCB;Т+: Облигации - безадрес.;"Акционерное общество ""Западный скоростной диаметр""";7825392577;1
RU000A0JRJS2;Мечел 17об;Мечел ПАО 17 обл.;Корпоративные облигации;RU000A0JRJS2;4-17-55005-E;3;RUB;TQCB;Т+: Облигации - безадрес.;"Публичное акционерное общество ""Мечел""";7703370008;1
RU000A0JRJT0;Мечел 18об;Мечел ПАО 18 обл.;Корпоративные облигации;RU000A0JRJT0;4-18-55005-E;3;RUB;TQCB;Т+: Облигации - безадрес.;"Публичное акционерное общество ""Мечел""";7703370008;1
RU000A0JRJV6;ННК 04;ННК АО 04;Корпоративные облигации;RU000A0JRJV6;4-04-65014-D;3;RUB;TQCB;Т+: Облигации - безадрес.;"Акционерное общество ""Независимая нефтегазовая компания""";7704233903;1
RU000A0JRJY0;Мечел 19об;Мечел ПАО 19 обл.;Корпоративные облигации;RU000A0JRJY0;4-19-55005-E;3;RUB;TQCB;Т+: Облигации - безадрес.;"Публичное акционерное общество ""Мечел""";7703370008;1
RU000A0JRK22;ННК 06;ННК АО 06;Корпоративные облигации;RU000A0JRK22;4-06-65014-D;3;RUB;TQCB;Т+: Облигации - безадрес.;"Акционерное общество ""Независимая нефтегазовая компания""";7704233903;1
RU000A0JRKC4;СПбТел 01;Санкт-Пет.Телеком АО обл. 01;Корпоративные облигации;RU000A0JRKC4;4-01-00740-D;3;RUB;TQCB;Т+: Облигации - безадрес.;"Акционерное общество ""Санкт-Петербург Телеком""";7815020097;1
