SECID;SHORTNAME;NAME;TYPENAME;ISIN;REGNUMBER;LISTLEVEL;FACEVALUE;FACEUNIT;PRIMARY_BOARDID;PRIMARY_BOARD_TITLE;ISSUEDATE;EMITENTNAME;INN;LOTSIZE
ABRD;АбрауДюрсо;Абрау-Дюрсо ПАО ао;Акции обыкновенные;RU000A0JS5T7;1-02-12500-A;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;02.10.2012;"Публичное акционерное общество ""Абрау – Дюрсо""";7727620673;10
AFKS;Система ао;"АФК ""Система"" ПАО ао";Акции обыкновенные;RU000A0DQZE3;1-05-01669-A;1;0,09;RUB;TQBR;Т+: Акции и ДР - безадрес.;12.12.2007;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""АКЦИОНЕРНАЯ ФИНАНСОВАЯ КОРПОРАЦИЯ ""СИСТЕМА""";7703104630;100
AFLT;Аэрофлот;Аэрофлот-росс.авиалин(ПАО)ао;Акции обыкновенные;RU0009062285;1-01-00010-A;1;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;13.02.2004;"Публичное акционерное общество ""Аэрофлот – российские авиалинии""";7712040126;10
AGRO;AGRO-гдр;ГДР ROS AGRO PLC ORD SHS;DR на иностранные акции;US7496552057;;1;0;USD;TQBR;Т+: Акции и ДР - безадрес.;01.12.2014;Bank of New York Mellon Corporation (Глобальные депозитарные расписки на акции ROS AGRO PLC);3817;1
AKRN;Акрон;Акрон ПАО ао;Акции обыкновенные;RU0009028674;1-03-00207-A;1;5;RUB;TQBR;Т+: Акции и ДР - безадрес.;11.10.2006;"Публичное акционерное общество ""Акрон""";5321029508;1
ALBK;БестЭфБ ао;Бест Эффортс Банк ПАО ао;Акции обыкновенные;RU000A0JS2M9;10400435B;3;10;RUB;TQBR;Т+: Акции и ДР - безадрес.;15.05.2012;"Публичное акционерное общество ""Бест Эффортс Банк""";7831000034;10
ALNU;АЛРОСА-Нюр;АЛРОСА-Нюрба ПАО ао;Акции обыкновенные;RU000A0JP468;1-01-20179-F;3;25;RUB;TQBR;Т+: Акции и ДР - безадрес.;08.12.2011;"Публичное акционерное общество ""АЛРОСА-Нюрба""";1419003844;1
ALRS;АЛРОСА ао;АЛРОСА ПАО ао;Акции обыкновенные;RU0007252813;1-03-40046-N;1;0,5;RUB;TQBR;Т+: Акции и ДР - безадрес.;29.11.2011;"Акционерная компания ""АЛРОСА"" (публичное акционерное общество)";1433000147;10
AMD-RM;AMD Inc.;Advanced Micro Devices, Inc.;Иностранные акции;US0079031078;;3;0,01;USD;FQBR;Т+ Ин.Акции и ДР - безадрес.;21.05.2018;Advanced Micro Devices, Inc. (Эдвансд Микро Девайсес, Инк.);4912;1
AMEZ;АшинскийМЗ; Ашинский метзавод ПАО ао;Акции обыкновенные;RU000A0B88G6;1-03-45219-D;2;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;28.08.2008;"Публичное акционерное общество ""Ашинский металлургический завод""";7401000473;100
